,name,Likes,tags,quote
317,Gabrielle Zevin,0 likes,"authors,disappointment,heartbreak,writers",“But I loved those books or at least that first one. And I felt somewhere down deep inside him the person who wrote it must be there. That you couldn't write such beautiful things and have such an ugly heart. But that is the truth. He was a beautiful writer and a terrible person.”
318,Israelmore Ayivor,0 likes,"authors,books,good-writer,israelmore-ayivor,mastery,persistence,publishing,repetition,writers,writing",“You don’t become a good writer overnight. It takes persistence and repetition to gain mastery.”
319,Nidhie Sharma,0 likes,"authors,stories","“Stories choose us, not the other way around.”"
320,Alan Hollinghurst,0 likes,"adaptations,authors","“Andrew Davies has said he prefers his authors dead, and I can see there is only a limited usefulness in a live one when it comes to adaptation.”"
321,Robin Sacredfire,0 likes,"authors,leadership,writers","“When people think that one possibility is not equated to truth, they're neglecting the fact that truth is a choice whenever the human spirit is part of the logic in question. Geniuses were never weak-minded. They were the counter-balance to an extremely stupid and fearful civilization. The weaker a people, the more inhuman their leader has to be.”"
322,Don Newman,0 likes,"authors,writing-quotes",“There is a big difference between an imperfect book that is read and a perfect book that is never written”
323,Debasish Mridha,0 likes,"authors,debasish-mridha,debasish-mridha-md,inspirational-quotes,philosophy,readers,readers-and-authors,symbiotic-relationship","“Authors and readers have a symbiotic relationship. An author builds roads of thoughts, imaginations, and ideas. Readers walk those roads to find the beauties of life.”"
324,Robin Sacredfire,0 likes,"authors,books,publishing,readers,writers","“I judge the quality of my work by the quality of the people that follow it. If my readers are the most amazing people on Earth, I am surely doing a very good job and I have all the right to be proud about it.”"
325,Alice VL,0 likes,"alicevl,amwriting,authors,bloggers,faith,hope,love,lovewillfindyoualways","“Love Will Find You, Always.”"
326,Jennifer Probst,0 likes,"authors,writing","“Being a writer is an important job because we bring emotion and imagination into a world filled with endless, inane chatter.”"
327,Rakesh Satyal,0 likes,"authors,books,readers,reading","“The greatest skill that an author could possess, she thought, was the ability to make a reader see a book as his or her child, someone only the reader in question could truly appreciate, love, and protect.”"
328,Arti Honrao,0 likes,"authors,book-reviews,writing","“I hardly give 5 stars to a book in my review. I do not want the authors to reach a saturation point, where they think they have done their best; they can always go beyond what they have achieved so far - should always go beyond - Keep growing.”"
329,Gabrielle Roy,0 likes,"authors,ecriture,lecture,lire,livres,reading,reading-books",“Je lisais … comme toujours lorsqu’on est emporté par la magie d’une histoire bien racontée ou la simple ivresse de se reconnaître à travers des mots plus habiles que les siens.”
330,Angie-Marie Delsante,18 likes,"acting,actors,authors,creativity,filmmaking,films,imagination,inspirational,scriptwriters,theatre,writers,writing","“Without writers, stories would not be written,"
331,Germany Kent,16 likes,"author-quote,author-quotes,authors,encourage-yourself,encouragement,encouragement-and-attitude,encouragement-quotes,encouraging,encouraging-and-empowering-girls,encouraging-quotes,faith,faith-in-god,faith-in-yourself,faith-quotes,faith-strength,germany-kent,germany-kent-quote,germany-kent-quotes,have-hope,have-hope-quotes,hope-for-each-day,hope-guru,hope-quotes,hopeful,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-living,inspirational-quotes,inspirational-quotes-about-life,inspirational-speakers,inspiring,keep-calm,keep-going,keep-it-up,keep-learning,keep-moving-forward,keep-on-going,keep-trying,keeping-faith,life,life-and-living,life-lesson-quote,life-lessons,life-lessons-quote,life-life-to-the-fullest,life-philosophy,life-quotes,life-quotes-and-sayings,living-in-the-present,living-in-the-present-moment,living-life-to-the-fullest,living-now,living-well-quotes,living-your-best-life,look-forward,look-to-the-future,motivation,motivational-speakers,move-forward,quotes-for-today,rise-above,rise-above-quotes,rise-higher,rise-quotes,rise-to-the-challenge,rise-up,rise-up-again,the-hope-guru,today,todays-quotes,trust-and-believe,women-author-quotes,women-empowerment,women-s-inspirational,women-s-strength","“Today if anything is trying to hold you back, give no attention to it. Get your hopes up, get your faith up, look up, and get ready to rise up.”"
332,Lang Leav,8 likes,"authors,readers,writing","“Writing is a conduit. It opens up a passageway into the past. Not just for the writer, but for the reader too. Both readers and writer are linked by the commonality of human experience.”"
333,Richelle E. Goodrich,3 likes,"author,authors,being-social,conversations,imaginary-friends,interesting-conversations,richelle,richelle-e-goodrich,richelle-goodrich,socializing",“I might be tempted to socialize more if the conversations taking place around me were half as interesting as the dialogue going on inside my head.”
334,L. Ron Hubbard,3 likes,"authors,writers,writing",“HOW TO DRIVE A WRITER CRAZY
335,Daniel Marques,2 likes,"author,authors,bubble,bubbles,compassion,individuality,intelligence,love,respect,society,write,writers","“Some people get offended by what I write, by what I do with my life and by what I say to those they never saw. And they also get offended when told they are too stupid to have the right to judge anyone. These poor souls don't know that respect and intelligence are correlated.”"
336,Cynthia Dougherty-Bernal,2 likes,"author,authors,goddess,poetry,poetry-quotes,prose-poetry,women,women-authors","“Embrace your inner goddess, never let go of the light you carry within.”"
337,Kelly G. Wilson,1 likes,"authors,books,reading,writing","“Don't let the covers fool you. Books, like lives, are wiggling, evolving, living things. They're not bound by pages or authors or schools of thought. They're not born when they're printed; in fact, they only start to live once they're read. So first of all, we thank you, reader. You dignify this work we do, and we're sincerely grateful for your time and attention.”"
338,Shannon L. Alder,1 likes,"authors,bible,books,dancing-with-the-devil,justice,novels,writers",“God's justice will always be found at the end of a pen.”
339,Chris Mentillo,1 likes,"author,author-quotes,author-quotes-quotes,authors,chris-mentillo,famous,famous-authors,famous-leadership-quotes,famous-people,famous-poets,famous-quote,famous-quotes,famous-quotes-from-classic-books,quotes,quotes-about-life,quotes-on-life,quotes-to-live-by,-authors-on-writing,writer,writers,writers-inspiration,writers-quotes,writing-life-likes-0-likes","“A woman does not become whole, until she has a baby.”"
340,Chris Mentillo,1 likes,"author-quotes,author-quotes-quotes,authors,chris-mentillo,famous,famous-authors,famous-leadership-quotes,famous-people,famous-poets,famous-quote,famous-quotes,famous-quotes-from-classic-books,quotes,quotes-about-life,quotes-on-life,quotes-to-live-by,-author,-authors-on-writing,writer,writers,writers-inspiration,writers-quotes",“A woman does not become whole until she has a baby.”
341,Robin Sacredfire,1 likes,"authors,best-sellers,bestseller,intelligence,stupid,stupidity,writers","“Most people I meet are stupid. Now, nobody likes to be labeled as stupid because they don’t want to know the truth about themselves, that they’re more useful dead than alive. The vast majority of those that meet me for the first time don’t believe that I’ve worked as a College Professor, or that I make a living as a writer. In fact, many have stopped talking to me because they believe I make a living doing something illegal, something criminal. It’s easier for them to believe that I’m just a criminal, than to accept that I’m one of the most famous bestselling writers in the entire planet. The ones that reach the next level, will ask me if I belong to any secret organization, if I speak to demons or if I channel the dead, or even if I steal information from the internet and other authors. Now, what they can’t see, is that the more they talk such things, the more they show me their real nature. They are very, really very, stupid. They can’t see an elephant in front of their nose; they can’t see an intelligent human being in front of their face; they are indeed very stupid and that’s a fact, not an assumption.”"
